"Alpine Meadows, CA",39.1646,-120.2387
"Bear Mountain, CA",34.2267,-116.8602
"Bear Valley Mt, CA",38.4922,-120.0067
"Boreal, CA",39.3360,-120.3505
"China Peak, CA",37.2364,-119.1574
"Dodge Ridge, CA",38.1898,-119.9559
"Donner Ski Ranch, CA",39.3177,-120.3303
"Heavenly, CA",38.9349,-119.9403
"Homewood, CA",39.0863,-120.1607
"Kirkwood, CA",38.7023,-120.0722
"Mammoth, CA",37.6485,-118.9721
"Mount Rose, CA",39.3437,-119.9171
"Mountain High, CA",34.3769,-117.6915
"Mt. Shasta Ski Park, CA",41.3211,-122.2035
"Northstar, CA",39.2746,-120.1211
"Sierra at Tahoe, CA",38.8002,-120.0804
"Squaw Valley, CA",39.1906,-120.2484
"Sugar Bowl, CA",39.3040,-120.3371
"Diamond Peak, NV",39.2537,-119.9238